id,player_type_id,player_type_name,sample_index,type,label_target,preference_signal,preference_score,rating,game_title,igdb_game_id,igdb_lookup_query,igdb_slug,igdb_source_url,igdb_match_status,game_platform,primary_genres,play_modes,title,content,preference_keywords,avoidance_keywords,notes_for_model,source,generated_at
horror_atmosphere-001,horror_atmosphere,공포 게임 선호 플레이어,1,JOURNAL,positive_preference,LIKE,0.78,,Resident Evil 7: Biohazard,,Resident Evil 7: Biohazard,resident-evil-7-biohazard,https://www.igdb.com/games/resident-evil-7-biohazard,slug_hint_only,PC,Horror|Shooter,Single player,저널 - Resident Evil 7: Biohazard: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Resident Evil 7: Biohazard이다. 좁은 집과 가족의 위협이 계속 신경을 곤두세운다는 점이 특히 기억에 남았고, 소리, 어둠, 추격, 심리적 압박이 기억에 남는 경험을 좋아한다는 사실을 다시 확인했다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|SURVIVAL_HORROR|FIRST_PERSON,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-002,horror_atmosphere,공포 게임 선호 플레이어,2,REVIEW,positive_preference,LIKE,0.84,4.5,Resident Evil Village,,Resident Evil Village,resident-evil-village,https://www.igdb.com/games/resident-evil-village,slug_hint_only,PC,Horror|Shooter,Single player,리뷰 - Resident Evil Village에서 찾은 오래 붙잡을 이유,"Resident Evil Village을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 마을과 성의 분위기가 강하고 탐색 보상이 좋다는 점 때문에 다시 켜고 싶은 마음이 생겼고, HORROR, ATMOSPHERE, SURVIVAL 성향을 잘 설명한다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|SURVIVAL_HORROR|GOTHIC|EXPLORATION,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-003,horror_atmosphere,공포 게임 선호 플레이어,3,REVIEW,positive_preference,LIKE,0.9,5,Silent Hill 2,,Silent Hill 2,silent-hill-2,https://www.igdb.com/games/silent-hill-2,slug_hint_only,PC,Horror|Adventure,Single player,리뷰 - Silent Hill 2은 공포 게임 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Silent Hill 2은 심리적 상징과 안개 낀 공간이 오래 남는다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|PSYCHOLOGICAL_HORROR|SYMBOLISM,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-004,horror_atmosphere,공포 게임 선호 플레이어,4,JOURNAL,positive_preference,LIKE,0.95,,Amnesia: The Dark Descent,,Amnesia: The Dark Descent,amnesia-the-dark-descent,https://www.igdb.com/games/amnesia-the-dark-descent,slug_hint_only,PC,Horror|Adventure,Single player,저널 - Amnesia: The Dark Descent: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Amnesia: The Dark Descent이다. 무력감과 어둠 관리가 공포를 직접 만든다는 점이 특히 기억에 남았고, 소리, 어둠, 추격, 심리적 압박이 기억에 남는 경험을 좋아한다는 사실을 다시 확인했다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|HIDE_AND_SEEK|SANITY,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-005,horror_atmosphere,공포 게임 선호 플레이어,5,REVIEW,positive_preference,LIKE,0.78,4,SOMA,,SOMA,soma,https://www.igdb.com/games/soma,slug_hint_only,PC,Horror|Adventure,Single player,리뷰 - SOMA에서 찾은 오래 붙잡을 이유,"SOMA을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 존재론적 질문과 해저 시설의 고립감이 강하다는 점 때문에 다시 켜고 싶은 마음이 생겼고, HORROR, ATMOSPHERE, SURVIVAL 성향을 잘 설명한다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|SCI_FI_HORROR|PHILOSOPHY,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-006,horror_atmosphere,공포 게임 선호 플레이어,6,REVIEW,positive_preference,LIKE,0.84,4.5,Outlast,,Outlast,outlast,https://www.igdb.com/games/outlast,slug_hint_only,PC,Horror|Adventure,Single player,리뷰 - Outlast은 공포 게임 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Outlast은 카메라 야간시야와 도주 중심 구조가 긴장을 유지한다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|CHASE|FOUND_FOOTAGE|HIDE_AND_SEEK,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-007,horror_atmosphere,공포 게임 선호 플레이어,7,JOURNAL,positive_preference,LIKE,0.9,,Outlast 2,,Outlast 2,outlast-2,https://www.igdb.com/games/outlast-2,slug_hint_only,PC,Horror|Adventure,Single player,저널 - Outlast 2: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Outlast 2이다. 광신도 마을과 추격 연출이 강하게 몰아친다는 점이 특히 기억에 남았고, 소리, 어둠, 추격, 심리적 압박이 기억에 남는 경험을 좋아한다는 사실을 다시 확인했다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|CHASE|RELIGIOUS_HORROR,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-008,horror_atmosphere,공포 게임 선호 플레이어,8,REVIEW,positive_preference,LIKE,0.95,4.5,Alien: Isolation,,Alien: Isolation,alien-isolation,https://www.igdb.com/games/alien-isolation,slug_hint_only,PC,Horror|Shooter,Single player,리뷰 - Alien: Isolation에서 찾은 오래 붙잡을 이유,"Alien: Isolation을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 외계 생명체의 예측 불가능성이 계속 긴장을 만든다는 점 때문에 다시 켜고 싶은 마음이 생겼고, HORROR, ATMOSPHERE, SURVIVAL 성향을 잘 설명한다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|STALKER_AI|SCI_FI_HORROR|STEALTH,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-009,horror_atmosphere,공포 게임 선호 플레이어,9,REVIEW,positive_preference,LIKE,0.78,4,Dead Space,,Dead Space,dead-space,https://www.igdb.com/games/dead-space,slug_hint_only,PC,Horror|Shooter,Single player,리뷰 - Dead Space은 공포 게임 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Dead Space은 절단 전투와 우주선 음향이 생존 공포를 살린다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|SURVIVAL_HORROR|SCI_FI|BODY_HORROR,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
horror_atmosphere-010,horror_atmosphere,공포 게임 선호 플레이어,10,JOURNAL,positive_preference,LIKE,0.84,,Dead Space (2023),,Dead Space (2023),dead-space-2023,https://www.igdb.com/games/dead-space-2023,slug_hint_only,PC,Horror|Shooter,Single player,저널 - Dead Space (2023): 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Dead Space (2023)이다. 현대화된 조명과 사운드가 이시무라의 압박을 되살린다는 점이 특히 기억에 남았고, 소리, 어둠, 추격, 심리적 압박이 기억에 남는 경험을 좋아한다는 사실을 다시 확인했다.",HORROR|ATMOSPHERE|SURVIVAL|DREAD|SOUND_DESIGN|LIMITED_RESOURCES|SURVIVAL_HORROR|REMAKE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
