id,player_type_id,player_type_name,sample_index,type,label_target,preference_signal,preference_score,rating,game_title,igdb_game_id,igdb_lookup_query,igdb_slug,igdb_source_url,igdb_match_status,game_platform,primary_genres,play_modes,title,content,preference_keywords,avoidance_keywords,notes_for_model,source,generated_at
multiplayer_social-001,multiplayer_social,멀티플레이 선호 플레이어,1,JOURNAL,positive_preference,LIKE,0.78,,Valorant,,Valorant,valorant,https://www.igdb.com/games/valorant,slug_hint_only,PC,Shooter|Tactical,Multiplayer,저널 - Valorant: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Valorant이다. 에이전트 조합과 라운드 콜이 승패를 크게 바꾼다는 점이 특히 기억에 남았고, 팀 콜, 역할 분담, 실시간 판단이 결과로 이어지는 경험을 좋아한다는 사실을 다시 확인했다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|TACTICAL_SHOOTER|RANKED,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-002,multiplayer_social,멀티플레이 선호 플레이어,2,REVIEW,positive_preference,LIKE,0.84,4.5,Counter-Strike 2,,Counter-Strike 2,counter-strike-2,https://www.igdb.com/games/counter-strike-2,slug_hint_only,PC,Shooter,Multiplayer,리뷰 - Counter-Strike 2에서 찾은 오래 붙잡을 이유,"Counter-Strike 2을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 경제 관리와 투척물 약속이 팀 실력으로 드러난다는 점 때문에 다시 켜고 싶은 마음이 생겼고, MULTIPLAYER, COOP, PVP 성향을 잘 설명한다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|TACTICAL_SHOOTER|PRECISION,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-003,multiplayer_social,멀티플레이 선호 플레이어,3,REVIEW,positive_preference,LIKE,0.9,4.8,League of Legends,,League of Legends,league-of-legends,https://www.igdb.com/games/league-of-legends,slug_hint_only,PC,MOBA|Strategy,Multiplayer,리뷰 - League of Legends은 멀티플레이 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. League of Legends은 라인전과 오브젝트 판단이 팀 흐름을 만든다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|MOBA,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-004,multiplayer_social,멀티플레이 선호 플레이어,4,JOURNAL,positive_preference,LIKE,0.95,,Dota 2,,Dota 2,dota-2,https://www.igdb.com/games/dota-2,slug_hint_only,PC,MOBA|Strategy,Multiplayer,저널 - Dota 2: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Dota 2이다. 영웅 조합과 아이템 선택이 매 판 다르게 작동한다는 점이 특히 기억에 남았고, 팀 콜, 역할 분담, 실시간 판단이 결과로 이어지는 경험을 좋아한다는 사실을 다시 확인했다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|MOBA|DEEP_META|TEAM_STRATEGY,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-005,multiplayer_social,멀티플레이 선호 플레이어,5,REVIEW,positive_preference,LIKE,0.78,4.2,Overwatch 2,,Overwatch 2,overwatch-2,https://www.igdb.com/games/overwatch-2,slug_hint_only,PC,Shooter,Multiplayer,리뷰 - Overwatch 2에서 찾은 오래 붙잡을 이유,"Overwatch 2을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 역할 전환과 궁극기 연계가 팀 하이라이트를 만든다는 점 때문에 다시 켜고 싶은 마음이 생겼고, MULTIPLAYER, COOP, PVP 성향을 잘 설명한다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|HERO_SHOOTER|TEAMFIGHT|ROLE_QUEUE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-006,multiplayer_social,멀티플레이 선호 플레이어,6,REVIEW,positive_preference,LIKE,0.84,4.5,Apex Legends,,Apex Legends,apex-legends,https://www.igdb.com/games/apex-legends,slug_hint_only,PC,Shooter,Multiplayer,리뷰 - Apex Legends은 멀티플레이 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Apex Legends은 이동, 핑, 교전 판단이 스쿼드 호흡으로 이어진다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|BATTLE_ROYALE|SQUAD|MOVEMENT,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-007,multiplayer_social,멀티플레이 선호 플레이어,7,JOURNAL,positive_preference,LIKE,0.9,,Fortnite,,Fortnite,fortnite,https://www.igdb.com/games/fortnite,slug_hint_only,PC,Shooter,Multiplayer,저널 - Fortnite: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Fortnite이다. 친구와 시즌 퀘스트를 밀며 가볍게 복귀하기 좋다는 점이 특히 기억에 남았고, 팀 콜, 역할 분담, 실시간 판단이 결과로 이어지는 경험을 좋아한다는 사실을 다시 확인했다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|BATTLE_ROYALE|SOCIAL_PLAY|SEASONAL,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-008,multiplayer_social,멀티플레이 선호 플레이어,8,REVIEW,positive_preference,LIKE,0.95,5,PUBG: Battlegrounds,,PUBG: Battlegrounds,pubg-battlegrounds,https://www.igdb.com/games/pubg-battlegrounds,slug_hint_only,PC,Shooter,Multiplayer,리뷰 - PUBG: Battlegrounds에서 찾은 오래 붙잡을 이유,"PUBG: Battlegrounds을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 긴장감 있는 파밍과 포지션 콜이 스쿼드 플레이를 살린다는 점 때문에 다시 켜고 싶은 마음이 생겼고, MULTIPLAYER, COOP, PVP 성향을 잘 설명한다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|BATTLE_ROYALE|TACTICAL|SQUAD,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-009,multiplayer_social,멀티플레이 선호 플레이어,9,REVIEW,positive_preference,LIKE,0.78,4.2,Rocket League,,Rocket League,rocket-league,https://www.igdb.com/games/rocket-league,slug_hint_only,PC,Sport|Racing,Multiplayer,리뷰 - Rocket League은 멀티플레이 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Rocket League은 짧은 경기마다 팀 합과 개인 기술을 바로 확인한다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|COMPETITIVE|SHORT_MATCH|SKILL_CEILING,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
multiplayer_social-010,multiplayer_social,멀티플레이 선호 플레이어,10,JOURNAL,positive_preference,LIKE,0.84,,Tom Clancy's Rainbow Six Siege,,Tom Clancy's Rainbow Six Siege,tom-clancys-rainbow-six-siege,https://www.igdb.com/games/tom-clancys-rainbow-six-siege,slug_hint_only,PC,Shooter|Tactical,Multiplayer,저널 - Tom Clancy's Rainbow Six Siege: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Tom Clancy's Rainbow Six Siege이다. 정보전과 진입 타이밍이 팀 전략을 강하게 만든다는 점이 특히 기억에 남았고, 팀 콜, 역할 분담, 실시간 판단이 결과로 이어지는 경험을 좋아한다는 사실을 다시 확인했다.",MULTIPLAYER|COOP|PVP|TEAMPLAY|VOICE_COMMS|META_MASTERY|TACTICAL_SHOOTER|TEAM_STRATEGY|INFORMATION,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
