id,player_type_id,player_type_name,sample_index,type,label_target,preference_signal,preference_score,rating,game_title,igdb_game_id,igdb_lookup_query,igdb_slug,igdb_source_url,igdb_match_status,game_platform,primary_genres,play_modes,title,content,preference_keywords,avoidance_keywords,notes_for_model,source,generated_at
puzzle_solo-001,puzzle_solo,퍼즐 솔로 선호 플레이어,1,JOURNAL,positive_preference,LIKE,0.78,,Portal,,Portal,portal,https://www.igdb.com/games/portal,slug_hint_only,PC,Puzzle|Platform,Single player,저널 - Portal: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Portal이다. 포털 규칙이 짧은 방마다 선명하게 확장된다는 점이 특히 기억에 남았고, 힌트를 적게 받고 천천히 구조를 해석하는 경험을 좋아한다는 사실을 다시 확인했다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|FIRST_PERSON_PUZZLE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-002,puzzle_solo,퍼즐 솔로 선호 플레이어,2,REVIEW,positive_preference,LIKE,0.84,4.5,Portal 2,,Portal 2,portal-2,https://www.igdb.com/games/portal-2,slug_hint_only,PC,Puzzle|Platform,Single player|Co-op,리뷰 - Portal 2에서 찾은 오래 붙잡을 이유,"Portal 2을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 젤과 빛다리 같은 장치가 단계적으로 쌓인다는 점 때문에 다시 켜고 싶은 마음이 생겼고, PUZZLE, SOLO_PLAY, LOGIC 성향을 잘 설명한다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|COMEDY|SYSTEMIC_RULES,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-003,puzzle_solo,퍼즐 솔로 선호 플레이어,3,REVIEW,positive_preference,LIKE,0.9,5,The Witness,,The Witness,the-witness,https://www.igdb.com/games/the-witness,slug_hint_only,PC,Puzzle|Adventure,Single player,리뷰 - The Witness은 퍼즐 솔로 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. The Witness은 섬 전체가 규칙 학습장처럼 연결된다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|OBSERVATION|LINE_PUZZLE|OPEN_WORLD_PUZZLE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-004,puzzle_solo,퍼즐 솔로 선호 플레이어,4,JOURNAL,positive_preference,LIKE,0.95,,Baba Is You,,Baba Is You,baba-is-you,https://www.igdb.com/games/baba-is-you,slug_hint_only,PC,Puzzle|Indie,Single player,저널 - Baba Is You: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Baba Is You이다. 문장을 바꾸면 세계 규칙이 바뀌는 발상이 강력하다는 점이 특히 기억에 남았고, 힌트를 적게 받고 천천히 구조를 해석하는 경험을 좋아한다는 사실을 다시 확인했다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|RULE_MANIPULATION,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-005,puzzle_solo,퍼즐 솔로 선호 플레이어,5,REVIEW,positive_preference,LIKE,0.78,4,Return of the Obra Dinn,,Return of the Obra Dinn,return-of-the-obra-dinn,https://www.igdb.com/games/return-of-the-obra-dinn,slug_hint_only,PC,Puzzle|Adventure,Single player,리뷰 - Return of the Obra Dinn에서 찾은 오래 붙잡을 이유,"Return of the Obra Dinn을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 사망 장면과 단서 연결이 추리 노트처럼 작동한다는 점 때문에 다시 켜고 싶은 마음이 생겼고, PUZZLE, SOLO_PLAY, LOGIC 성향을 잘 설명한다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|MYSTERY|OBSERVATION,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-006,puzzle_solo,퍼즐 솔로 선호 플레이어,6,REVIEW,positive_preference,LIKE,0.84,4.5,Outer Wilds,,Outer Wilds,outer-wilds,https://www.igdb.com/games/outer-wilds,slug_hint_only,PC,Puzzle|Adventure,Single player,리뷰 - Outer Wilds은 퍼즐 솔로 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. Outer Wilds은 지식 자체가 진행도가 되는 구조가 아름답다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|KNOWLEDGE_GATE|EXPLORATION|MYSTERY,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-007,puzzle_solo,퍼즐 솔로 선호 플레이어,7,JOURNAL,positive_preference,LIKE,0.9,,Fez,,Fez,fez,https://www.igdb.com/games/fez,slug_hint_only,PC,Puzzle|Platform,Single player,저널 - Fez: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 Fez이다. 시점을 돌리는 순간 공간 해석이 바뀐다는 점이 특히 기억에 남았고, 힌트를 적게 받고 천천히 구조를 해석하는 경험을 좋아한다는 사실을 다시 확인했다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|PERSPECTIVE_SHIFT|SECRET_HUNT|PIXEL_ART,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-008,puzzle_solo,퍼즐 솔로 선호 플레이어,8,REVIEW,positive_preference,LIKE,0.95,4.5,Braid,,Braid,braid,https://www.igdb.com/games/braid,slug_hint_only,PC,Puzzle|Platform,Single player,리뷰 - Braid에서 찾은 오래 붙잡을 이유,"Braid을 플레이하는 동안 급하게 몰아치는 느낌보다 스스로 목표를 정하는 감각이 컸다. 시간 조작을 퍼즐 문법으로 끝까지 밀어붙인다는 점 때문에 다시 켜고 싶은 마음이 생겼고, PUZZLE, SOLO_PLAY, LOGIC 성향을 잘 설명한다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|TIME_MANIPULATION|PLATFORM_PUZZLE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-009,puzzle_solo,퍼즐 솔로 선호 플레이어,9,REVIEW,positive_preference,LIKE,0.78,4,The Talos Principle,,The Talos Principle,the-talos-principle,https://www.igdb.com/games/the-talos-principle,slug_hint_only,PC,Puzzle|Adventure,Single player,리뷰 - The Talos Principle은 퍼즐 솔로 선호 플레이어에게 잘 맞았다,"완성도보다 더 중요하게 느껴진 것은 플레이 리듬이었다. The Talos Principle은 레이저와 장치 조합이 차분한 사고 실험처럼 느껴진다는 구조 덕분에 오래 붙잡기 쉬웠고, 내 선호 장르를 설명하는 대표 사례에 가깝다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|PHILOSOPHY|FIRST_PERSON_PUZZLE,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
puzzle_solo-010,puzzle_solo,퍼즐 솔로 선호 플레이어,10,JOURNAL,positive_preference,LIKE,0.84,,The Talos Principle 2,,The Talos Principle 2,the-talos-principle-2,https://www.igdb.com/games/the-talos-principle-2,slug_hint_only,PC,Puzzle|Adventure,Single player,저널 - The Talos Principle 2: 내 취향을 또렷하게 보여준 기록,"오늘 플레이한 게임은 The Talos Principle 2이다. 새 장치가 기존 규칙을 크게 무너뜨리지 않고 확장한다는 점이 특히 기억에 남았고, 힌트를 적게 받고 천천히 구조를 해석하는 경험을 좋아한다는 사실을 다시 확인했다.",PUZZLE|SOLO_PLAY|LOGIC|DEDUCTION|SPATIAL_REASONING|EUREKA|WORLD_BUILDING|SYSTEMIC_RULES,,이 플레이어 유형의 추천 후보에 가깝다.,synthetic_original_ko,2026-06-17T00:00:00+09:00
